745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014-9-12,15:00:00,48350,48610,48180,48580,642956
2014-9-15,15:00:00,48500,48740,47930,48640,1315516
2014-9-16,15:00:00,48320,48810,48230,48640,503738
2014-9-17,15:00:00,48650,50910,48490,49400,754624
2014-9-18,15:00:00,49220,49440,48860,49020,465104
2014-9-19,15:00:00,48690,48930,48590,48660,535040
2014-9-22,15:00:00,48810,48820,47550,47690,1134234
2014-9-23,15:00:00,47730,48050,47480,47890,777060
2014-9-24,15:00:00,47760,48160,47570,47930,707700
2014-9-25,15:00:00,47580,48230,47520,47860,733352
2014-9-26,15:00:00,47850,48110,47550,47990,710128
2014-9-29,15:00:00,47780,48070,47480,47740,564924
2014-9-30,15:00:00,47770,48530,47720,48100,444328
2014-10-8,15:00:00,48010,48270,47720,47730,283566
2014-10-9,15:00:00,47910,47910,47280,47790,690544
2014-10-10,15:00:00,47650,48080,47170,47230,738286
2014-10-13,15:00:00,47170,47920,46950,47800,731842
2014-10-14,15:00:00,47800,48140,47590,48020,550254
2014-10-15,15:00:00,48140,48440,48050,48260,567726
2014-10-16,15:00:00,47870,47970,47210,47250,888146
2014-10-17,15:00:00,46860,47150,46480,46510,1060148
2014-10-20,15:00:00,46830,47210,46770,46850,615938
2014-10-21,15:00:00,46730,47100,46630,46700,582292
2014-10-22,15:00:00,47180,47470,47090,47220,636126
2014-10-23,15:00:00,47320,47330,47010,47250,504622
2014-10-24,15:00:00,47310,47580,47230,47490,448832
2014-10-27,15:00:00,47500,47620,47090,47150,441070
2014-10-28,15:00:00,47320,47650,47320,47610,455702
2014-10-29,15:00:00,47780,47830,47490,47820,444626
2014-10-30,15:00:00,47740,48070,47480,47540,525386
2014-10-31,15:00:00,47420,47890,47170,47790,562192
2014-11-3,15:00:00,47530,47660,47140,47290,609600
2014-11-4,15:00:00,47440,47750,47290,47670,369036
2014-11-5,15:00:00,47060,47160,46450,46510,840860
2014-11-6,15:00:00,46590,46990,46510,46730,670226
2014-11-7,15:00:00,46700,47210,46650,47090,450766
2014-11-10,15:00:00,46990,47510,46990,47400,435078
2014-11-11,15:00:00,47260,47330,47000,47030,318330
2014-11-12,15:00:00,46900,47360,46890,47200,361728
2014-11-13,15:00:00,47200,47390,47120,47260,340776
2014-11-14,15:00:00,47320,47370,46740,46990,547030
2014-11-17,15:00:00,47010,47710,46850,47470,547788
2014-11-18,15:00:00,47310,47510,47220,47430,390644
2014-11-19,15:00:00,47130,47220,46930,47130,420232
2014-11-20,15:00:00,47150,47470,47030,47260,387064
2014-11-21,15:00:00,47070,47430,47020,47350,374660
2014-11-24,15:00:00,47690,48050,47520,47560,504078
2014-11-25,15:00:00,47500,47600,47260,47540,349748
2014-11-26,15:00:00,47420,47500,46640,46660,908400
2014-11-27,15:00:00,46840,46890,46460,46760,650992
2014-11-28,15:00:00,46650,46730,45850,46000,1106732
2014-12-1,15:00:00,45820,45820,43890,44510,1144986
2014-12-2,15:00:00,44720,45720,44640,45370,945598
2014-12-3,15:00:00,45230,45640,44860,45160,927012
2014-12-4,15:00:00,45350,45830,45100,45700,718120
2014-12-5,15:00:00,45570,46330,45510,45970,729414
2014-12-8,15:00:00,46080,46110,45740,45750,553956
2014-12-9,15:00:00,45620,45870,45370,45760,733212
2014-12-10,15:00:00,45540,46670,45540,46080,789494
2014-12-11,15:00:00,45960,46170,45880,46060,530076
2014-12-12,15:00:00,46100,46380,46090,46240,405932
2014-12-15,15:00:00,46170,46660,45960,46560,417898
2014-12-16,15:00:00,46520,46580,45560,45680,595166
2014-12-17,15:00:00,45670,45780,45110,45400,766548
2014-12-18,15:00:00,44970,45830,44870,45390,772578
2014-12-19,15:00:00,45380,45630,45280,45610,515234
2014-12-22,15:00:00,45790,46070,45660,46050,417550
2014-12-23,15:00:00,45970,45970,45540,45680,474044
2014-12-24,15:00:00,45490,45720,45380,45660,356934
2014-12-25,15:00:00,45480,45690,45380,45660,335494
2014-12-26,15:00:00,45610,45690,45360,45540,278226
2014-12-29,15:00:00,45590,45600,44900,45040,565564
2014-12-30,15:00:00,45080,45470,44820,45270,575154
2014-12-31,15:00:00,45210,45890,45120,45760,494316
2015-1-5,15:00:00,45500,45540,44960,45040,352902
2015-1-6,15:00:00,44250,44820,43950,44720,766976
2015-1-7,15:00:00,44560,44730,44320,44500,530452
2015-1-8,15:00:00,44500,44750,44480,44540,382756
2015-1-9,15:00:00,44820,44870,44120,44120,674360
2015-1-12,15:00:00,44000,44280,43610,43770,707068
2015-1-13,15:00:00,43260,43510,42670,42680,749914
2015-1-14,15:00:00,42160,42440,40950,40950,743106
2015-1-15,15:00:00,40310,41090,39710,40810,1754276
2015-1-16,15:00:00,41120,41540,40420,40860,1158258
2015-1-19,15:00:00,40730,41720,40590,41610,981420
2015-1-20,15:00:00,41070,41470,40910,41130,848136
2015-1-21,15:00:00,41350,41440,41020,41140,694468
2015-1-22,15:00:00,40910,42000,40810,41420,1038368
