745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014-4-15,15:00:00,15160,15285,15025,15200,859964
2014-4-16,15:00:00,15180,15360,15135,15180,839226
2014-4-17,15:00:00,15225,15310,14925,14955,832124
2014-4-18,15:00:00,14935,14965,14355,14360,1107528
2014-4-21,15:00:00,14290,14360,14070,14085,970640
2014-4-22,15:00:00,14110,14290,14030,14185,987390
2014-4-23,15:00:00,14240,14290,13915,14175,1078950
2014-4-24,15:00:00,14200,14455,14160,14235,900022
2014-4-25,15:00:00,14340,14375,14115,14180,987822
2014-4-28,15:00:00,14175,14635,14075,14630,1233408
2014-4-29,15:00:00,14655,15000,14575,14800,1134500
2014-4-30,15:00:00,14735,14760,14515,14580,695040
2014-5-5,15:00:00,14530,14725,14460,14625,693374
2014-5-6,15:00:00,14640,14640,14295,14355,657882
2014-5-7,15:00:00,14225,14410,14205,14385,762738
2014-5-8,15:00:00,14430,14470,14225,14245,819068
2014-5-9,15:00:00,14285,14305,14095,14115,794238
2014-5-12,15:00:00,14180,14525,14125,14380,920216
2014-5-13,15:00:00,14485,14485,14295,14445,717580
2014-5-14,15:00:00,14475,14690,14475,14630,692800
2014-5-15,15:00:00,14590,14690,14380,14420,723168
2014-5-16,15:00:00,14380,14405,13980,14140,863654
2014-5-19,15:00:00,14180,14940,14135,14930,1208844
2014-5-20,15:00:00,14935,14940,14720,14850,958018
2014-5-21,15:00:00,14830,15015,14620,14665,1002466
2014-5-22,15:00:00,14685,14825,14630,14740,805280
2014-5-23,15:00:00,14815,14975,14660,14775,909036
2014-5-26,15:00:00,14920,15165,14825,15110,878824
2014-5-27,15:00:00,15095,15140,14805,14885,751708
2014-5-28,15:00:00,14865,14910,14740,14845,686228
2014-5-29,15:00:00,14825,15020,14630,14645,801656
2014-5-30,15:00:00,14635,14710,14415,14505,763290
2014-6-3,15:00:00,14545,14750,14400,14485,696268
2014-6-4,15:00:00,14510,14580,14440,14475,560910
2014-6-5,15:00:00,14500,14645,14300,14595,783642
2014-6-6,15:00:00,14590,14645,14510,14585,581108
2014-6-9,15:00:00,14585,14770,14550,14625,712596
2014-6-10,15:00:00,14660,14700,14470,14660,645522
2014-6-11,15:00:00,14700,14810,14620,14760,721888
2014-6-12,15:00:00,14735,14745,14475,14495,616970
2014-6-13,15:00:00,14505,14910,14435,14820,915608
2014-6-16,15:00:00,14805,14890,14625,14675,601670
2014-6-17,15:00:00,14640,14775,14565,14745,667640
2014-6-18,15:00:00,14845,14855,14685,14785,681794
2014-6-19,15:00:00,14855,15185,14795,14970,1057402
2014-6-20,15:00:00,15030,15385,14965,15360,981062
2014-6-23,15:00:00,15425,15775,15415,15700,911882
2014-6-24,15:00:00,15650,15680,15550,15670,575732
2014-6-25,15:00:00,15650,15760,15480,15670,682054
2014-6-26,15:00:00,15670,15915,15615,15845,705222
2014-6-27,15:00:00,15815,15815,15525,15590,591158
2014-6-30,15:00:00,15470,15530,15345,15375,539650
2014-7-1,15:00:00,15475,15540,15220,15350,576838
2014-7-2,15:00:00,15400,15430,14950,15355,765230
2014-7-3,15:00:00,15365,15485,15300,15315,629342
2014-7-4,15:00:00,15305,15390,15120,15185,627780
2014-7-7,15:00:00,15170,15180,14510,14525,826216
2014-7-8,15:00:00,14530,14630,14445,14535,549430
2014-7-9,15:00:00,14500,14650,14350,14485,612564
2014-7-10,15:00:00,14460,14530,14390,14420,463196
2014-7-11,15:00:00,14465,14525,14285,14380,546260
2014-7-14,15:00:00,14315,14595,14310,14515,409744
2014-7-15,15:00:00,14560,14600,14370,14530,464856
2014-7-16,15:00:00,14530,14670,14475,14595,426222
2014-7-17,15:00:00,14630,14870,14555,14850,613850
2014-7-18,15:00:00,14900,14930,14625,14645,634444
2014-7-21,15:00:00,14665,14670,14510,14650,438130
2014-7-22,15:00:00,14615,14865,14545,14775,665472
2014-7-23,15:00:00,14780,14885,14660,14880,569922
2014-7-24,15:00:00,14810,15275,14810,15095,959846
2014-7-25,15:00:00,15080,15170,14985,15115,565432
2014-7-28,15:00:00,15100,15185,14815,15025,789454
2014-7-29,15:00:00,15170,15570,15085,15480,922596
2014-7-30,15:00:00,15405,15460,15315,15345,603718
2014-7-31,15:00:00,15395,15405,15270,15360,555014
2014-8-1,15:00:00,15220,15220,14995,15065,570484
2014-8-4,15:00:00,15025,15235,15005,15175,434412
2014-8-5,15:00:00,15210,15240,15045,15065,492456
2014-8-6,15:00:00,14965,15185,14885,15025,479146
2014-8-7,15:00:00,15015,15215,14975,15155,458770
2014-8-8,15:00:00,15140,15280,15100,15125,375740
2014-8-11,15:00:00,15170,15225,15000,15035,414370
2014-8-12,15:00:00,15045,15060,14830,14840,506370
2014-8-13,15:00:00,14750,14925,14705,14780,458728
2014-8-14,15:00:00,14800,14855,14520,14630,562196
