1685, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2012-3-22,15:00:00,28400,28540,27985,28110,752606
2012-3-23,15:00:00,28100,28290,27950,28285,551662
2012-3-26,15:00:00,28330,28480,28240,28300,444600
2012-3-27,15:00:00,28550,28630,28410,28550,390820
2012-3-28,15:00:00,28450,28480,28220,28230,394544
2012-3-29,15:00:00,28105,28150,27715,27895,392142
2012-3-30,15:00:00,27965,28090,27860,27980,231472
2012-4-5,15:00:00,27000,27420,26620,27195,306146
2012-4-6,15:00:00,27285,27360,26945,27320,403706
2012-4-9,15:00:00,27230,27540,27030,27200,373554
2012-4-10,15:00:00,27200,27450,27120,27320,426484
2012-4-11,15:00:00,26710,26870,26595,26680,324418
2012-4-12,15:00:00,26850,26955,26735,26850,264748
2012-4-13,15:00:00,27000,27000,26635,26655,291592
2012-4-16,15:00:00,26300,26545,26220,26520,231518
2012-4-17,15:00:00,26430,26600,26370,26430,213928
2012-4-18,15:00:00,26690,27610,26625,27205,336042
2012-4-19,15:00:00,27000,27320,26995,27245,255832
2012-4-20,15:00:00,27245,27280,27060,27230,228632
2012-4-23,15:00:00,27240,27385,27060,27100,281512
2012-4-24,15:00:00,27195,27195,26650,26810,383878
2012-4-25,15:00:00,26810,26885,26720,26755,187698
2012-4-26,15:00:00,26805,27175,26775,27130,238076
2012-4-27,15:00:00,27295,27295,27110,27215,183412
2012-5-2,15:00:00,27430,27490,27280,27305,180066
2012-5-3,15:00:00,27220,27320,26800,26840,234692
2012-5-4,15:00:00,26745,26930,26705,26910,210012
2012-5-7,15:00:00,26530,26715,26500,26620,199598
2012-5-8,15:00:00,26700,26985,26660,26710,251088
2012-5-9,15:00:00,26350,26450,25940,26100,331954
2012-5-10,15:00:00,26220,26295,25970,26225,303752
2012-5-11,15:00:00,26140,26185,25455,25540,382616
2012-5-14,15:00:00,25760,25775,24610,24860,450344
2012-5-15,15:00:00,24470,24715,23940,24685,516002
2012-5-16,15:00:00,24500,24685,23905,23990,519100
2012-5-17,15:00:00,24340,24690,24225,24480,537142
2012-5-18,15:00:00,24225,24320,23705,24090,741588
2012-5-21,15:00:00,24545,24840,24425,24735,453832
2012-5-22,15:00:00,24830,24830,24485,24610,395428
2012-5-23,15:00:00,24180,24180,23740,24130,399582
2012-5-24,15:00:00,24080,24245,23750,24205,571932
2012-5-25,15:00:00,24200,24335,23970,24270,502174
2012-5-28,15:00:00,24400,24510,24210,24465,431426
2012-5-29,15:00:00,24210,24740,24155,24670,454528
2012-5-30,15:00:00,24500,24580,24230,24350,538506
2012-5-31,15:00:00,23850,24160,23800,23975,407690
2012-6-1,15:00:00,23850,23995,23555,23610,643298
2012-6-4,15:00:00,23000,23170,22305,22305,631090
2012-6-5,15:00:00,22580,22785,22375,22445,603200
2012-6-6,15:00:00,22320,22830,22190,22625,818118
2012-6-7,15:00:00,22915,23110,22605,22665,625110
2012-6-8,15:00:00,22595,22595,22015,22055,754542
2012-6-11,15:00:00,22585,23020,22585,22770,598726
2012-6-12,15:00:00,22310,22400,22165,22300,493474
2012-6-13,15:00:00,22365,22400,22175,22340,473566
2012-6-14,15:00:00,22225,22665,22105,22260,716710
2012-6-15,15:00:00,22400,22940,22385,22920,757266
2012-6-18,15:00:00,23265,23435,23070,23210,570294
2012-6-19,15:00:00,23150,23290,23030,23045,527570
2012-6-20,15:00:00,23200,23445,23130,23350,474914
2012-6-21,15:00:00,22880,22880,22525,22570,490800
2012-6-25,15:00:00,22100,22630,22100,22335,502490
2012-6-26,15:00:00,22440,22575,22245,22360,505836
2012-6-27,15:00:00,22400,22625,22295,22475,523418
2012-6-28,15:00:00,22800,22800,22520,22665,478322
2012-6-29,15:00:00,22500,23070,22380,23060,635082
2012-7-2,15:00:00,23550,23550,23150,23275,423692
2012-7-3,15:00:00,23285,24095,23250,23880,663660
2012-7-4,15:00:00,23890,24210,23820,23915,601822
2012-7-5,15:00:00,23900,24210,23810,24165,541222
2012-7-6,15:00:00,24050,24200,23820,23990,580966
2012-7-9,15:00:00,23630,24075,23590,23960,513804
2012-7-10,15:00:00,23950,24375,23815,23840,665534
2012-7-11,15:00:00,23785,24160,23675,23880,564610
2012-7-12,15:00:00,23905,24105,23780,23880,492216
2012-7-13,15:00:00,23885,24510,23885,24485,499480
2012-7-16,15:00:00,24450,24775,24420,24615,423296
2012-7-17,15:00:00,24795,24890,24115,24270,452862
2012-7-18,15:00:00,24280,24300,23775,23825,355996
2012-7-19,15:00:00,24000,24225,23820,24085,321862
2012-7-20,15:00:00,24450,24645,23935,24005,458746
2012-7-23,15:00:00,23720,23720,22810,22810,288566
2012-7-24,15:00:00,22300,22550,21920,22295,582946
